Center,Area,Roundness,Ellipse Width,Ellipse Height,Angle
"(754, 981)",1085.0,0.6914201631833758,24.462623596191406,58.48664474487305,179.08262634277344
"(440, 973)",941.5,0.7146312794016874,23.69805335998535,51.68447494506836,178.03890991210938
"(296, 955)",965.5,0.6965106506701307,23.04261016845703,55.6517448425293,14.620170593261719
"(674, 907)",909.0,0.6801070687000746,22.229524612426758,53.246559143066406,179.3462371826172
"(519, 909)",1024.0,0.5829832818286497,21.757781982421875,62.73630142211914,12.616944313049316
"(804, 897)",678.0,0.7111507168530324,20.535263061523438,45.80117416381836,179.3998260498047
"(623, 886)",2478.0,0.80078355776975,43.786865234375,73.90596771240234,10.969794273376465
"(371, 872)",1710.0,0.800096076531087,35.92109298706055,61.262001037597656,8.360906600952148
"(60, 861)",1288.5,0.6625709742234818,26.195037841796875,63.734230041503906,5.22561502456665
"(174, 807)",983.5,0.7238336738184532,24.73056983947754,51.8424072265625,3.7989306449890137
"(274, 824)",3084.5,0.6532941481577156,40.85990905761719,96.95716857910156,179.2929229736328
"(744, 796)",1204.0,0.6499895298522222,24.347814559936523,64.60039520263672,170.10409545898438
"(530, 789)",672.0,0.5324072990382261,15.93057632446289,56.199615478515625,2.100888729095459
"(19, 784)",1198.0,0.7840385020185545,28.622848510742188,53.768653869628906,172.1646270751953
"(410, 783)",1132.0,0.7129345451839643,26.001596450805664,57.91744613647461,174.8872833251953
"(686, 786)",1313.5,0.6741998914202451,26.56353759765625,64.92192077636719,161.59046936035156
"(934, 779)",1079.0,0.699215027756652,25.001426696777344,56.95610046386719,176.48353576660156
"(95, 756)",933.5,0.6088008940189216,20.18050765991211,61.315364837646484,160.107421875
"(141, 742)",1064.5,0.5908361008855103,21.098867416381836,66.61153411865234,157.98281860351562
"(777, 739)",1038.5,0.6706310844758785,23.49051856994629,57.54447937011719,4.653223037719727
"(822, 746)",2600.5,0.7629954292537807,44.46579360961914,77.63799285888672,176.8787841796875
"(387, 722)",1093.0,0.6951103391943079,24.933679580688477,56.593570709228516,177.97012329101562
"(469, 685)",1155.0,0.746939090570731,28.338542938232422,53.63951873779297,7.879040241241455
"(680, 678)",781.5,0.7072106822409386,22.3436222076416,48.295570373535156,164.42225646972656
"(166, 679)",1408.5,0.7451113134144678,29.830991744995117,60.61297607421875,159.00357055664062
"(314, 675)",933.0,0.5945576169959432,19.3625431060791,64.38253021240234,172.8424835205078
"(760, 657)",809.0,0.6875521939855042,21.35026741027832,49.93792724609375,0.8752319812774658
"(575, 648)",1164.5,0.6682318021832948,24.88665199279785,60.79121017456055,14.586851119995117
"(903, 636)",1141.5,0.6821450648350704,24.74622344970703,62.0288200378418,176.1339111328125
"(967, 632)",1019.0,0.6682610691294344,23.479280471801758,57.522117614746094,175.9140625
"(351, 606)",1116.0,0.7146634608775327,25.86396598815918,56.38949203491211,174.38543701171875
"(423, 595)",1116.0,0.567108367550649,21.62994384765625,69.40997314453125,171.57801818847656
"(799, 506)",813.0,0.656270946584413,20.24342918395996,54.36590576171875,176.75746154785156
"(384, 492)",847.0,0.6572713500530215,20.565895080566406,54.212520599365234,171.63961791992188
"(395, 441)",1196.5,0.624589641979974,23.623046875,66.47268676757812,168.88961791992188
"(495, 435)",1991.0,0.8294215263476855,41.49757766723633,61.83449172973633,4.860785484313965
"(47, 429)",1000.0,0.605316914764751,20.95575523376465,62.63538360595703,172.73617553710938
"(671, 423)",763.5,0.5661157631657663,17.902809143066406,55.88212585449219,6.644705772399902
"(740, 416)",963.0,0.6765700532628905,22.759923934936523,54.410118103027344,164.02622985839844
"(261, 391)",1075.5,0.764578217255807,27.04848861694336,51.2130241394043,135.27365112304688
"(560, 380)",1262.5,0.7515037745321475,28.845548629760742,56.57139205932617,27.815799713134766
"(881, 380)",1522.5,0.739834668262982,31.046722412109375,63.634559631347656,177.99929809570312
"(600, 372)",971.5,0.7112613991083075,23.503454208374023,54.52925109863281,179.2322540283203
"(320, 359)",982.0,0.7073360484091638,24.493946075439453,51.987083435058594,3.376124620437622
"(814, 358)",943.0,0.5454368233203061,18.541040420532227,67.87474060058594,161.40090942382812
